title,x,y,cluster
About the 🎈 Using Streamlit category,-46.84212,-34.477795,9
Using Streamlit: how to post a question in the Streamlit forum,-40.23892,-27.896046,9
Saving data in local storage via streamlit,-30.54255,-3.2896817,9
Problem with multiselect erase button,90.17424,-11.138851,7
Problem saving number_input in a list,62.305904,8.357763,5
Update st.bar_chart using st.sessionstate and multiprocessing,8.114463,-75.27843,2
"The application runs for a minute and gives an error ""Oh no. Error running app""",-17.244383,54.937313,1
Need click twice on button for changing state,32.397465,42.924953,0
Streamlit not recognizing module from same package,-75.05856,-14.308951,9
Streamlit st_pages session state issue,-53.061832,8.461734,9
CSV Download from Data Frame fails if hosted in Cross Origin iFrame on Chrome and Edge,-1.4478251,-4.747234,8
Streamlit login and mutipages,-59.770332,6.6016006,9
Problem with iframe height,4.567669,-19.456995,4
"How to set up ""Allowed-message-origins"" in config.toml file?",-73.794754,55.803925,1
Configuring Apache 2.4 for proxy,-67.0007,-23.274368,4
How to add custom HTTP headers?,2.8619564,-2.0105703,4
"Text_input : how to disable ""Press Enter to Apply""",51.47142,28.262808,5
Spinner doesn't show and then everything updates once the task in the spinner completes,7.1854606,7.7865725,2
Multi-user chat application,33.417847,11.78139,2
Streamlit hello results in 404 error in bespoke environment,-64.154724,-10.176507,9
Data privacy/data protection (for uploaded files),-23.092262,70.4357,6
Transformers module not found,-65.17728,30.771782,1
Blank Page after adding login to Streamlit Please help am new to it,-40.333588,-14.786865,9
Exception only when Debugging in VSCode,-10.653489,33.969753,1
"""oh no"" Error running app",-17.50864,54.767593,1
Rebuild all changed files,-12.237076,67.74618,2
Double entry accounting sandbox,0.37152165,3.1950536,4
Cannot see stack traces,-16.421001,38.373257,1
Change of color for Navigation bar,31.824938,-25.888765,4
Keep DataFrames objects between sessions in a thread-based program,41.589363,79.12202,2
Style Column Metrics like the Documentation,38.586876,-34.797085,4
St.chat_message enter does not post,37.294804,17.072569,5
Streamlit app not getting deployed,-65.85645,-2.2250528,9
CSS Hack: Add Icon to Streamlit's date input,-9.01034,-54.089985,9
Sidebar menu items have different indentation if there is a markdown with link tag,42.39998,-2.4331608,4
Checkbox status after click,77.7564,38.146107,0
Insert calplot heatmap in Streamlit,-20.483105,-67.90337,9
Has somebody solved the session_state.messages error?,34.517025,77.02128,1
Checkbox doesnt work inside if condition,78.15956,37.65107,7
Streamlit app not being deployed,-65.87969,-2.2240338,9
TeachableMachine multiple image labels deployment in Streamlit,-36.35582,-54.119728,9
How to implement a three-column layout in chat_input,36.7738,13.138658,5
Not able to make streamlit work on AWS EC2 with Ubuntu 22,-68.74477,3.6739275,9
Streamlit-trubrics Platform show user score_feedback=None after submitting,-56.725994,-22.741352,9
Remove streamlit welcome message on Windows,-32.9034,-9.442823,9
Altair mark shape,2.4763234,-92.953445,4
Support run from witihin python,-80.27242,-25.371489,1
Question about scroll event,35.812057,1.6854761,4
Analytics not working,-2.3457408,21.863028,1
Perform insert operation using st-gsheets-connection in private sheet,-9.46869,-9.607223,5
Problem with List.pop() breaking the text_input component,57.273556,22.000774,5
Multiprocessing leads to frequent app crashes,-67.11847,-38.99848,1
Count of variables in column for multiple lines on st.line_chart,11.595909,-81.125626,3
App reload cause?,9.782292,55.96524,2
How to display st.markdown in a column of st.dataframe?,42.373787,-66.3781,8
Change the progress bar background color,28.615524,-37.484608,4
Model size too large?,43.165756,-13.914794,4
Drag and Drop / pdf file / streamlit,-5.0316424,-30.670126,9
Error when updating streamlit,-57.424,-8.151386,9
Streamlit fails to run,-60.731457,-13.118202,9
Anyone creating business-facing apps with Streamlit?,-42.747734,-34.28696,9
Run streamlit from PyCharm,-82.48841,-28.604174,9
Subject: Streamlit: Dynamically Updating DataFrame and Scatter Plot,-8.0822525,-60.925365,3
What is the scrolling event streamlit,-13.924871,-23.996502,9
Change Background of Streamlit Container,-23.450928,-45.488297,9
My multi_select and plots disappear when i choose and ID,91.20231,-4.020896,7
You need to enable Javascript to run this app！！！,-22.268957,57.926464,1
I'm curious about the OpenAI keys in the Streamlit apps on Share App,-43.567562,-32.042187,9
How to block message asking for user email on first use,1.096636,38.254555,2
File uploader dropdown related issue,-36.720493,73.791405,6
Pop-up in the label of streamlit.slider,-17.406487,-18.485615,9
Adding scrolls bars to expander is not working,66.15617,-18.525915,4
