id,title,slug,has_accepted_answer
19,About the 🎈 Using Streamlit category,about-the-using-streamlit-category,False
30960,Using Streamlit: how to post a question in the Streamlit forum,using-streamlit-how-to-post-a-question-in-the-streamlit-forum,False
28785,Saving data in local storage via streamlit,saving-data-in-local-storage-via-streamlit,False
59693,Problem with multiselect erase button,problem-with-multiselect-erase-button,False
59691,Problem saving number_input in a list,problem-saving-number-input-in-a-list,False
59661,Update st.bar_chart using st.sessionstate and multiprocessing,update-st-bar-chart-using-st-sessionstate-and-multiprocessing,True
59518,"The application runs for a minute and gives an error ""Oh no. Error running app""",the-application-runs-for-a-minute-and-gives-an-error-oh-no-error-running-app,False
59678,Need click twice on button for changing state,need-click-twice-on-button-for-changing-state,False
4572,Streamlit not recognizing module from same package,streamlit-not-recognizing-module-from-same-package,False
58975,Streamlit st_pages session state issue,streamlit-st-pages-session-state-issue,False
59664,CSV Download from Data Frame fails if hosted in Cross Origin iFrame on Chrome and Edge,csv-download-from-data-frame-fails-if-hosted-in-cross-origin-iframe-on-chrome-and-edge,False
59557,Streamlit login and mutipages,streamlit-login-and-mutipages,False
59631,Problem with iframe height,problem-with-iframe-height,False
59648,"How to set up ""Allowed-message-origins"" in config.toml file?",how-to-set-up-allowed-message-origins-in-config-toml-file,False
1866,Configuring Apache 2.4 for proxy,configuring-apache-2-4-for-proxy,False
47190,How to add custom HTTP headers?,how-to-add-custom-http-headers,False
14457,"Text_input : how to disable ""Press Enter to Apply""",text-input-how-to-disable-press-enter-to-apply,False
59384,Spinner doesn't show and then everything updates once the task in the spinner completes,spinner-doesnt-show-and-then-everything-updates-once-the-task-in-the-spinner-completes,False
59624,Multi-user chat application,multi-user-chat-application,False
59548,Streamlit hello results in 404 error in bespoke environment,streamlit-hello-results-in-404-error-in-bespoke-environment,False
59541,Data privacy/data protection (for uploaded files),data-privacy-data-protection-for-uploaded-files,False
59429,Transformers module not found,transformers-module-not-found,False
59590,Blank Page after adding login to Streamlit Please help am new to it,blank-page-after-adding-login-to-streamlit-please-help-am-new-to-it,False
52362,Exception only when Debugging in VSCode,exception-only-when-debugging-in-vscode,False
59132,"""oh no"" Error running app",oh-no-error-running-app,True
54516,Rebuild all changed files,rebuild-all-changed-files,False
59591,Double entry accounting sandbox,double-entry-accounting-sandbox,False
59418,Cannot see stack traces,cannot-see-stack-traces,False
59566,Change of color for Navigation bar,change-of-color-for-navigation-bar,False
59576,Keep DataFrames objects between sessions in a thread-based program,keep-dataframes-objects-between-sessions-in-a-thread-based-program,False
20464,Style Column Metrics like the Documentation,style-column-metrics-like-the-documentation,False
57370,St.chat_message enter does not post,st-chat-message-enter-does-not-post,False
59550,Streamlit app not getting deployed,streamlit-app-not-getting-deployed,False
59529,CSS Hack: Add Icon to Streamlit's date input,css-hack-add-icon-to-streamlits-date-input,False
59524,Sidebar menu items have different indentation if there is a markdown with link tag,sidebar-menu-items-have-different-indentation-if-there-is-a-markdown-with-link-tag,False
59171,Checkbox status after click,checkbox-status-after-click,False
59519,Insert calplot heatmap in Streamlit,insert-calplot-heatmap-in-streamlit,False
53315,Has somebody solved the session_state.messages error?,has-somebody-solved-the-session-state-messages-error,False
40639,Checkbox doesnt work inside if condition,checkbox-doesnt-work-inside-if-condition,False
59501,Streamlit app not being deployed,streamlit-app-not-being-deployed,False
59362,TeachableMachine multiple image labels deployment in Streamlit,teachablemachine-multiple-image-labels-deployment-in-streamlit,False
59466,How to implement a three-column layout in chat_input,how-to-implement-a-three-column-layout-in-chat-input,False
59207,Not able to make streamlit work on AWS EC2 with Ubuntu 22,not-able-to-make-streamlit-work-on-aws-ec2-with-ubuntu-22,False
57073,Streamlit-trubrics Platform show user score_feedback=None after submitting,streamlit-trubrics-platform-show-user-score-feedback-none-after-submitting,False
59199,Remove streamlit welcome message on Windows,remove-streamlit-welcome-message-on-windows,False
